Corpus	Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std
NA02-Ploch	ss_ss-e-n-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-e-l-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-n-l-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-e-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-n-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-l-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss_ss-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss-pt_ss-pt-t-v	66.05	15.16	67.07	13.98	69.82	14.59
NA02-Ploch	ss_ss-e-l-n-t-v	69.04	14.11	67.07	12.09	70.2	12.97
NA02-Ploch	ss-pt_ss-pt-e-l-n-t-v	66.05	15.16	67.07	13.98	69.82	14.59
MI01-Clematide	lt-ps_lt-ps-e-l-n-t-v	65.36	10.81	67.06	9.5	67.62	10.11
NA02-Ploch	ss-ps_ss-ps-n-v	65.48	14.45	67.05	12.35	69.83	12.5
MI01-Clematide	lt_lt-e-n-t-v	66.34	9.37	67.02	8.43	67.85	9.08
MI01-Clematide	lt_lt-e-t-v	66.34	9.37	67.02	8.43	67.85	9.08
MI01-Clematide	lt_lt-n-t-v	66.34	9.37	67.02	8.43	67.85	9.08
MI01-Clematide	lt_lt-t-v	66.34	9.37	67.02	8.43	67.85	9.08
MI01-Clematide	lt_lt-t-v	66.34	9.37	67.02	8.43	67.85	9.08
NA02-Ploch	ss-pt_ss-pt-n-v	66.28	15.05	67	13.86	69.57	14.65
MI01-Clematide	lt_lt-e-v	67.04	10.83	66.98	10.13	67.87	10.87
MI01-Clematide	lt_lt-v	67.04	10.83	66.98	10.13	67.87	10.87
MI01-Clematide	lt_lt-e-v	67.04	10.83	66.98	10.13	67.87	10.87
NA02-Ploch	li_li-e-t-v-s	65.02	13.36	66.97	10.98	69.83	11.06
NA02-Ploch	li_li-n-t-v-s	65.02	13.36	66.97	10.98	69.83	11.06
NA02-Ploch	li_li-t-v-s	65.02	13.36	66.97	10.98	69.83	11.06
NA02-Ploch	li_li-e-n-s-t-v	65.02	13.36	66.97	10.98	69.83	11.06
MI01-Clematide	li_r-s-v	64.8	14.41	66.93	13.61	67.3	14.15
NA02-Ploch	li_r-l-v	66.4	12.77	66.92	9.58	69.9	10.13
MI01-Clematide	lt_lt-n-l-v-s	65.64	9.53	66.9	9.16	67.37	9.57
MI01-Clematide	sc-ps_sc-ps-v	65.29	12.09	66.9	11.38	67.58	11.87
MI01-Clematide	sc-ps_sc-ps-e-v	65.29	12.09	66.9	11.38	67.58	11.87
MI01-Clematide	sc-ps_sc-ps-l-v	65.29	12.09	66.9	11.38	67.58	11.87
MI01-Clematide	lt_lt-e-l-n-s-v	65.64	9.53	66.9	9.16	67.37	9.57
MI01-Clematide	li_r-e-l-n-s-v	65.85	8.94	66.89	8.51	67.7	8.88
NA02-Ploch	li_li-e-v-s	65.83	11.35	66.86	9.03	69.84	9.38
NA02-Ploch	li_li-v-s	65.83	11.35	66.86	9.03	69.84	9.38
NA02-Ploch	li_li-s-v	65.83	11.35	66.86	9.03	69.84	9.38
NA02-Ploch	sc-pt_sc-pt-n-v	65.94	14.97	66.84	13.85	69.59	13.76
NA02-Ploch	lt_lt-e-l-t-v	66.74	14.13	66.83	13.59	69.17	14.78
NA02-Ploch	lt_lt-n-l-t-v	66.74	14.13	66.83	13.59	69.17	14.78
NA02-Ploch	lt_lt-l-t-v	66.74	14.13	66.83	13.59	69.17	14.78
NA02-Ploch	lt_lt-e-l-n-t-v	66.74	14.13	66.83	13.59	69.17	14.78
NA02-Ploch	sc-ps_sc-ps-n-v	65.37	15.15	66.81	13.63	69.44	13.66
MI01-Clematide	lt_r-t-v	64.87	12.7	66.79	11.44	67.24	12.01
MI01-Clematide	lt_lt-e-t-v-s	65.08	9.7	66.77	9.23	67.22	9.53
MI01-Clematide	lt_lt-n-t-v-s	65.08	9.7	66.77	9.23	67.22	9.53
MI01-Clematide	lt_lt-t-v-s	65.08	9.7	66.77	9.23	67.22	9.53
MI01-Clematide	lt_lt-e-n-s-t-v	65.08	9.7	66.77	9.23	67.22	9.53
MI01-Clematide	li_li-e-n-v	65.85	9.55	66.72	9.16	67.45	9.73
MI01-Clematide	li_li-n-v	65.85	9.55	66.72	9.16	67.45	9.73
MI01-Clematide	li_li-n-v	65.85	9.55	66.72	9.16	67.45	9.73
MI01-Clematide	lt_r-n-v	65.08	13.21	66.71	11.98	67.16	12.54
NA02-Ploch	li_r-n-v	64.68	14.41	66.71	11.98	69.26	12.52
MI01-Clematide	li_li-e-n-t-v	65.5	9.53	66.68	9.11	67.35	9.63
MI01-Clematide	li_li-e-t-v	65.5	9.53	66.68	9.11	67.35	9.63
MI01-Clematide	li_li-n-t-v	65.5	9.53	66.68	9.11	67.35	9.63
MI01-Clematide	li_li-t-v	65.5	9.53	66.68	9.11	67.35	9.63
MI01-Clematide	li_li-t-v	65.5	9.53	66.68	9.11	67.35	9.63
MI01-Clematide	sc-pt_sc-pt-v	65.43	10.68	66.66	10.29	67.31	10.83
MI01-Clematide	sc-pt_sc-pt-e-v	65.43	10.68	66.66	10.29	67.31	10.83
MI01-Clematide	lt-ps_lt-ps-t-v	65.01	11.21	66.66	9.9	67.24	10.52
MI01-Clematide	sc-pt_sc-pt-l-v	65.43	10.68	66.66	10.29	67.31	10.83
NA02-Ploch	sc_sc-e-n-l-v	67.77	14.7	66.65	12.93	69.53	13.22
NA02-Ploch	sc_sc-e-n-v	67.77	14.7	66.65	12.93	69.53	13.22
NA02-Ploch	sc_sc-n-l-v	67.77	14.7	66.65	12.93	69.53	13.22
NA02-Ploch	sc_sc-n-v	67.77	14.7	66.65	12.93	69.53	13.22
NA02-Ploch	sc_sc-n-v	67.77	14.7	66.65	12.93	69.53	13.22
MI01-Clematide	li_li-n-l-v-s	65.64	10.43	66.64	9.83	67.31	10.16
MI01-Clematide	li_li-e-l-n-s-v	65.64	10.43	66.64	9.83	67.31	10.16
NA02-Ploch	lt-ps_lt-ps-n-v	65.83	12.12	66.62	11.18	69.57	11.19
NA02-Ploch	lt-pt_lt-pt-n-v	66.4	13.03	66.59	12.86	69.15	13.7
NA02-Ploch	ss-ps_ss-ps-t-v	65.02	14.84	66.58	12.95	69.75	12.65
NA02-Ploch	ss-ps_ss-ps-e-l-n-t-v	65.02	14.84	66.58	12.95	69.75	12.65
NA02-Ploch	li-ps_li-ps-e-n-s-t-v	64.79	14.6	66.55	12.18	69.54	12.14
RE02-Sänger	lt_lt-e-v-s	65.6	8.51	66.54	7.04	70.32	7.09
NA02-Ploch	sc-ps_sc-ps-t-v	64.91	16	66.51	14.42	69.29	14.18
NA02-Ploch	sc-ps_sc-ps-e-l-n-t-v	64.91	16	66.51	14.42	69.29	14.18
RE02-Sänger	ss_ss-e-l-v-s	67.25	8.42	66.5	8.11	70.8	7.63
RE02-Sänger	ss_ss-e-v-s	67.25	8.42	66.5	8.11	70.8	7.63
NA02-Ploch	li-ps_li-ps-s-v	65.6	12.47	66.49	10.01	69.61	10.26
NA02-Ploch	li_r-e-n-s-t-v	63.76	14.74	66.48	11.97	69.27	12.06
NA02-Ploch	lt_lt-e-n-l-v	66.63	13.7	66.42	13.23	68.66	14.2
NA02-Ploch	lt_lt-n-l-v	66.63	13.7	66.42	13.23	68.66	14.2
NA02-Ploch	ss_ss-e-l-s	64.51	9.19	66.4	8.85	70.23	8.22
NA02-Ploch	ss_ss-e-s	64.51	9.19	66.4	8.85	70.23	8.22
NA02-Ploch	ss_ss-l-s	64.51	9.19	66.4	8.85	70.23	8.22
MI01-Clematide	lt-ps_lt-ps-n-v	64.94	10.95	66.4	9.74	67.04	10.35
NA02-Ploch	ss_ss-s	64.51	9.19	66.4	8.85	70.23	8.22
NA02-Ploch	lt-ps_lt-ps-s-v	65.71	11.57	66.4	9.86	69.71	9.53
MI01-Clematide	sc-pt_sc-pt-s-v	64.74	12.05	66.37	11.98	66.82	12.54
NA02-Ploch	ss-pt_ss-pt-s-v	65.25	12.92	66.36	10.07	69.41	10.54
NA02-Ploch	lt_lt-e-t-v-s	65.48	11.05	66.32	9	69.65	8.93
NA02-Ploch	lt_lt-n-t-v-s	65.48	11.05	66.32	9	69.65	8.93
NA02-Ploch	lt_lt-t-v-s	65.48	11.05	66.32	9	69.65	8.93
NA02-Ploch	lt_lt-e-n-s-t-v	65.48	11.05	66.32	9	69.65	8.93
MI01-Clematide	lt-pt_lt-pt-l-v	65.43	10.98	66.27	10.35	66.84	11.1
SM02-Sidarenka	lt_lt-e-l-v-s	67.54	6.71	66.25	5.29	71.49	4.58
MI01-Clematide	lt-pt_lt-pt-v	65.43	11.06	66.24	10.4	66.81	11.18
MI01-Clematide	lt-pt_lt-pt-e-v	65.43	11.06	66.24	10.4	66.81	11.18
RE02-Sänger	lt_lt-l-v-s	65.76	8.78	66.23	7.41	70.23	7.39
MI01-Clematide	li-pt_li-pt-l-v	65.15	11.77	66.21	11.77	66.77	12.3
NA02-Ploch	lt-pt_lt-pt-v	66.63	11.77	66.19	11.02	68.88	12.15
NA02-Ploch	lt-pt_lt-pt-e-v	66.63	11.77	66.19	11.02	68.88	12.15
MI01-Clematide	sc-ps_sc-ps-s-v	64.25	12.98	66.19	12.34	66.66	12.99
MI01-Clematide	li-pt_li-pt-v	65.15	11.85	66.18	11.8	66.77	12.35
MI01-Clematide	li-pt_li-pt-e-v	65.15	11.85	66.18	11.8	66.77	12.35
MI01-Clematide	li_r-t-v	64.04	12.34	66.18	11.17	66.69	11.86
RE02-Sänger	li_li-e-l-v-s	65.48	9.43	66.17	8.01	70.14	7.98
NA02-Ploch	li_li-e-l-v	67.2	12.37	66.15	10.47	69.59	10.83
NA02-Ploch	li_li-l-v	67.2	12.37	66.15	10.47	69.59	10.83
NA02-Ploch	li_li-l-v	67.2	12.37	66.15	10.47	69.59	10.83
