Config	Acc	Acc-Std	F1-Macro	F1-Macro-Std	F1-Weighted	F1-Weighted-Std	LT-Acc	LT-Acc-Std	LT-F1-Macro	LT-F1-Macro-Std	LT-F1-Weighted	LT-F1-Weighted-Std	MI-Acc	MI-Acc-Std	MI-F1-Macro	MI-F1-Macro-Std	MI-F1-Weighted	MI-F1-Weighted-Std	NA-Acc	NA-Acc-Std	NA-F1-Macro	NA-F1-Macro-Std	NA-F1-Weighted	NA-F1-Weighted-Std	RE-Acc	RE-Acc-Std	RE-F1-Macro	RE-F1-Macro-Std	RE-F1-Weighted	RE-F1-Weighted-Std	SM-Acc	SM-Acc-Std	SM-F1-Macro	SM-F1-Macro-Std	SM-F1-Weighted	SM-F1-Weighted-Std
lt_lt-e-t-v	56.865	10.6475	56.1275	8.8375	60.5975	10.07875	50.95875	4.21125	52.5425	4.08625	53.955	3.7	55.25625	11.34375	55.77	10.98875	58.85625	10.01625	56.28375	14.10375	53.5675	16.15625	62.8675	12.6375	64.3275	8.74	58.73125	4.605	65.8975	9.63	54.69375	6.37375	57.21	5.40625	59.2325	6.32875
sc_sc-e-l-v	58.23625	10.9025	56.08875	9.65875	60.74875	10.2625	53.04125	5.8225	52.795	5.83375	54.4725	5.92625	54.5575	9.66125	54.85625	9.66625	57.33125	8	55.33875	14.3	51.71625	16.37875	60.7625	10.9375	66.3725	7.70625	58.475	5.355	66.84875	9.0175	57.34	9.1575	58.55	8.50375	60.50625	9.73
sc_sc-e-v	58.23625	10.9025	56.08875	9.65875	60.74875	10.2625	53.04125	5.8225	52.795	5.83375	54.4725	5.92625	54.5575	9.66125	54.85625	9.66625	57.33125	8	55.33875	14.3	51.71625	16.37875	60.7625	10.9375	66.3725	7.70625	58.475	5.355	66.84875	9.0175	57.34	9.1575	58.55	8.50375	60.50625	9.73
li-ps_li-ps-e-l-n-t-v	55.85	10.9325	56.07625	9.035	60.52	9.71625	48.4825	4.7225	51.3475	3.99125	52.38375	3.6825	52.52875	10.97125	54.94125	10.20375	57.21	8.71625	55.3	14.07125	54.0325	17.84625	63.0375	10.42125	65.63	8.92625	60.10875	3.41125	67.92125	8.8825	53.3175	7.40125	56.67125	5.99	58.8075	7.2
li_li-e-n-v	56.14375	10.73875	56.01625	9.09125	60.4825	9.7	48.11625	4.20125	50.6475	3.55	51.80625	3.39125	54.38	11.05375	56.03125	10.545	58.65875	8.71875	55.78	13.4675	53.98125	17.3425	63.095	10.34625	65.14125	8.15375	59.56125	3.65375	67.19625	8.68375	53.72125	7.34375	56.75125	6.05	58.83375	7.1975
sc_sc-e-l-n-t-s-v	56.395	9.93	55.965	9.00375	60.5575	8.88625	48.97625	5.715	50.90875	4.88125	52.475	4.715	53.25875	9.18	54.95875	9.5175	57.38625	6.8775	56.03	13.04375	54.1375	18.21625	63.235	9.49125	65.6875	5.86875	59.9475	3.5825	67.975	6.875	54.10875	7.40125	56.585	6.58125	58.66125	7.43875
sc_sc-e-l-s-t-v	56.395	9.93	55.965	9.00375	60.5575	8.88625	48.97625	5.715	50.90875	4.88125	52.475	4.715	53.25875	9.18	54.95875	9.5175	57.38625	6.8775	56.03	13.04375	54.1375	18.21625	63.235	9.49125	65.6875	5.86875	59.9475	3.5825	67.975	6.875	54.10875	7.40125	56.585	6.58125	58.66125	7.43875
sc_sc-e-t-v-s	56.395	9.93125	55.96375	9.00375	60.5575	8.88625	48.97625	5.715	50.90875	4.88125	52.475	4.715	53.25875	9.18	54.95875	9.5175	57.38625	6.8775	56.0275	13.0475	54.13625	18.2175	63.2325	9.495	65.6875	5.86875	59.9475	3.5825	67.975	6.875	54.10875	7.40125	56.585	6.58125	58.66125	7.43875
sc_sc-e-n-s-t-v	56.395	9.93125	55.96375	9.00375	60.5575	8.88625	48.97625	5.715	50.90875	4.88125	52.475	4.715	53.25875	9.18	54.95875	9.5175	57.38625	6.8775	56.0275	13.0475	54.13625	18.2175	63.2325	9.495	65.6875	5.86875	59.9475	3.5825	67.975	6.875	54.10875	7.40125	56.585	6.58125	58.66125	7.43875
li_li-e-l-n-s-v	55.90125	9.89125	55.95625	8.815	60.54375	8.68375	47.495	5.71	50.34875	5.25625	51.67375	5.00875	53.7475	10.87	55.725	10.48875	58.24125	8.405	54.84	11.64875	53.34625	17.21375	62.59625	7.97125	64.90375	6.45875	59.53875	3.535	67.46125	7.31375	54.20875	6.44	57.195	5.4275	59.3425	6.305
li_li-e-n-s-t-v	55.28125	9.86875	55.945	8.66875	60.38	8.6725	46.92625	5.24875	50.24125	4.7425	51.42	4.46875	53.06125	10.285	55.4325	9.8925	57.93625	7.8875	54.525	11.6925	53.7625	17.5625	62.89	8.2275	64.60375	6.96	59.91625	3.3975	67.5425	7.3425	53.17125	6.59625	56.835	5.2975	58.85875	6.3575
li_li-e-t-v-s	55.28125	9.86875	55.945	8.66875	60.38	8.6725	46.92625	5.24875	50.24125	4.7425	51.42	4.46875	53.06125	10.285	55.4325	9.8925	57.93625	7.8875	54.525	11.6925	53.7625	17.5625	62.89	8.2275	64.60375	6.96	59.91625	3.3975	67.5425	7.3425	53.17125	6.59625	56.835	5.2975	58.85875	6.3575
sc-ps_sc-ps-e-l-n-t-v	55.2	10.535	55.94375	8.82	60.41	9.32	48.695	4.6025	51.585	4.035	53.24875	3.94375	52.25625	10.5825	54.95375	9.795	57.4575	8.45	54.51875	11.815	53.57	16.805	62.6875	9.165	65.115	8.90875	60.5975	3.51125	68.00375	8.6025	52.00375	7.835	55.92625	6.85	57.9975	7.6975
lt-pt_lt-pt-e-l-n-t-s-v	55.33875	9.95125	55.89875	8.58875	60.44	8.64375	47.00125	5.51125	50.33125	4.99	51.56	4.575	52.26875	10.52625	55.05375	10.19	57.26125	8.2225	54.135	11.46	53.27625	17.28125	62.47	7.45375	65.22625	6.71625	60.00375	3.4875	68.03875	7.2375	53.40875	6.5975	56.99625	5.3325	59.13	6.34375
lt-pt_lt-pt-e-l-s-t-v	55.33875	9.95125	55.89875	8.58875	60.44	8.64375	47.00125	5.51125	50.33125	4.99	51.56	4.575	52.26875	10.52625	55.05375	10.19	57.26125	8.2225	54.135	11.46	53.27625	17.28125	62.47	7.45375	65.22625	6.71625	60.00375	3.4875	68.03875	7.2375	53.40875	6.5975	56.99625	5.3325	59.13	6.34375
lt_lt-l-v-s	56.0125	12.09375	55.89	9.80625	60.165	10.6175	49.215	5.325	51.59	5.6575	52.2625	5.30875	55.3575	12.785	57.16625	12.61625	59.3975	10.55625	56.76	13.62	54.84	18.63625	63.98875	9.5875	68.0025	8.3775	61.2175	3.98125	69.22625	9.06625	49.37125	6.88375	53.49375	5.83	55.04125	6.47625
lt-pt_lt-pt-e-n-s-t-v	55.2525	9.89625	55.8625	8.5775	60.41125	8.5975	46.94375	5.3325	50.34125	5.0875	51.62375	4.5475	52.23	10.66125	55.02875	10.295	57.23125	8.295	53.87625	11.11	53.10375	17.0625	62.285	7.17875	65.17625	6.63625	59.98	3.55125	68.025	7.135	53.34125	6.6175	56.98875	5.38625	59.11375	6.38
lt_r-e-l-n-s-v	55.73125	10.07125	55.86125	8.75125	60.4	8.745	47.5125	5.77875	50.66	4.92625	51.88	5.16625	53.6825	11.87375	55.92375	11.2275	58.30125	9.22375	54.13875	11.30375	52.8	16.7825	61.89875	7.1275	64.98625	6.77375	59.40625	3.69625	67.36875	7.71875	53.94625	6.48625	57.01125	5.33875	59.15125	6.3875
li_r-e-l-n-t-s-v	55.33625	10.34625	55.85625	9.035	60.33875	8.99625	46.4275	5.935	49.76125	5.06125	50.94	5.2625	53.165	11.57625	55.8375	11.11	58.17125	9.10625	54.16125	12.0825	53.45	17.71875	62.40625	8.305	65.0075	7.05	59.82375	3.79125	67.665	7.66	53.4025	6.89125	56.80875	5.70375	58.9825	6.60875
li_r-e-l-s-t-v	55.33625	10.34625	55.85625	9.035	60.33875	8.99625	46.4275	5.935	49.76125	5.06125	50.94	5.2625	53.165	11.57625	55.8375	11.11	58.17125	9.10625	54.16125	12.0825	53.45	17.71875	62.40625	8.305	65.0075	7.05	59.82375	3.79125	67.665	7.66	53.4025	6.89125	56.80875	5.70375	58.9825	6.60875
lt_lt-e-l-v	57.7275	12.00625	55.85125	9.8225	60.27875	11.58125	51.03375	5.61125	51.29625	6.015	52.29875	5.8075	56.01	11.83	55.50375	11.2675	58.5525	10.7525	56.65625	15.54875	52.96875	15.27125	62.07625	13.345	64.14875	9.66125	57.0775	6.12625	64.41875	10.825	57.11	7.5075	58.72	6.5025	60.78375	7.7325
ss_ss-e-l-n-t-v	57.26625	11.85875	55.8125	9.47125	60.32	10.55	49.67	5.6575	51.575	4.63	52.3475	4.93625	52.1275	9.56625	53.3625	9.18625	55.28625	7.2075	55.42375	17.29125	52.99625	19.1375	61.6125	12.285	68.15625	8.58375	60.0325	3.87375	68.6175	9.51	55.48875	8.16125	57.0425	7.02	59.26125	8.08875
